code,name,county,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
830349,Spring Hill Middle,Scotland,Laurinburg,"22801 Airbase Road, Laurinburg, NC 28352",-79.3772655,34.8691076,Scotland County Schools,76.5,D,46.7,3
10364,North Graham Elementary,Alamance,Graham,"1025 Trollinger Road, Graham, NC 27253",-79.3777934,36.0763205,Alamance-Burlington Schools,63.2,D,42.3,3
10348,Graham High,Alamance,Graham,"903 Trollinger Road, Graham, NC 27253",-79.3830719,36.0754477,Alamance-Burlington Schools,70.8,C,35.5,4
10374,R Homer Andrews Elementary,Alamance,Burlington,"2630 Buckingham Road, Burlington, NC 27217",-79.3834238,36.0944585,Alamance-Burlington Schools,53.1,C,45.2,3
190316,Chatham Central High,Chatham,Bear Creek,"14950 NC Hwy 902 W, Bear Creek, NC 27207",-79.3899336,35.6139426,Chatham County Schools,37.3,B,55.8,3
630356,Southern Pines Elementary,Moore,Southern Pines,"255 S May St, Southern Pines, NC 28387",-79.3912092,35.170139,Moore County Schools,57.7,C,54.9,3
10380,South Graham Elementary,Alamance,Graham,"320 Ivey Road, Graham, NC 27253",-79.3936579,36.0520937,Alamance-Burlington Schools,46.4,D,45.3,3
01B000,River Mill Academy,Alamance,Graham,"235 Cheeks Lane, Graham, NC 27253",-79.3944205,36.0439505,Charter Schools,11.6,B,71.3,2
10360,Hugh M Cummings High,Alamance,Burlington,"2200 N Mebane Street, Burlington, NC 27217",-79.396541,36.0886278,Alamance-Burlington Schools,76.2,C,26.1,4
170334,North Elementary,Caswell,Providence,"10390 NC Hwy 86 N, Providence, NC 27315",-79.396737,36.529202,Caswell County Schools,57.4,C,64.3,2
10310,Broadview Middle,Alamance,Burlington,"2229 Broadview Drive, Burlington, NC 27217",-79.3969707,36.0874369,Alamance-Burlington Schools,55.3,F,28.1,4
630324,Sandhills Farm Life Elementary,Moore,Carthage,"2201 Farm Life Rd, Carthage, NC 28327",-79.4036446,35.2803766,Moore County Schools,16.1,C,66.6,2
10350,Graham Middle,Alamance,Graham,"311 E Pine Street, Graham, NC 27253",-79.4052184,36.0683622,Alamance-Burlington Schools,85.1,F,30.9,4
10326,Eastlawn Elementary,Alamance,Burlington,"502 N Graham Hopedale Road, Burlington, NC 27217",-79.4066516,36.1019099,Alamance-Burlington Schools,60.5,D,36,4
10388,Southern Alamance High,Alamance,Graham,"631 Southern High Road, Graham, NC 27253",-79.40889,36.006858,Alamance-Burlington Schools,34.5,C,56.4,3
10390,Southern Alamance Middle,Alamance,Graham,"771 Southern High Road, Graham, NC 27253",-79.4088981,36.004284,Alamance-Burlington Schools,37,C,59.9,3
630316,Carthage Elementary,Moore,Carthage,"312 Rockingham St, Carthage, NC 28327",-79.4164959,35.3409267,Moore County Schools,57.3,B,61.2,2
10354,Harvey R Newlin Elementary,Alamance,Burlington,"316 Carden Street, Burlington, NC 27215",-79.4205411,36.0734088,Alamance-Burlington Schools,69.1,D,33.2,4
190308,Bonlee School,Chatham,Bear Creek,"152 Bonlee School Road, Bear Creek, NC 27207",-79.420708,35.644174,Chatham County Schools,59.1,C,62,2
170344,Stoney Creek Elementary,Caswell,Reidsville,"1803 Stoney Creek School Road, Reidsville, NC 27320",-79.423574,36.345013,Caswell County Schools,48.2,D,41.3,3
630308,Aberdeen Elementary,Moore,Aberdeen,"503 Sandhills Blvd N, Aberdeen, NC 28315",-79.426078,35.139826,Moore County Schools,81.6,D,35.1,4
630350,Southern Middle,Moore,Aberdeen,"717 Johnson Street, Aberdeen, NC 28315",-79.426409,35.154692,Moore County Schools,64.8,D,43.4,3
63A000,The Academy of Moore County,Moore,Aberdeen,"12588 US 15-501 Hwy, Aberdeen, NC 28315",-79.4291178,35.094013,Charter Schools,16.3,A,90.7,1
630336,Pinecrest High,Moore,Southern Pines,"250 Voit Gilmore Lane, Southern Pines, NC 28387",-79.4348009,35.184817,Moore County Schools,30.4,B,63.1,2
10392,Sylvan Elementary,Alamance,Snow Camp,"7718 Sylvan Road, Snow Camp, NC 27349",-79.4365221,35.8799967,Alamance-Burlington Schools,62.3,D,43.8,3
830356,South Scotland Elementary,Scotland,Laurinburg,"17200 Barnes Bridge Rd, Laurinburg, NC 28352",-79.4391821,34.7347983,Scotland County Schools,64.2,C,47.7,3
190370,Virginia Cross Elementary,Chatham,Siler City,"234 Cross School Road, Siler City, NC 27344",-79.4413534,35.7117979,Chatham County Schools,91.7,C,49.2,3
830320,I E Johnson Elementary,Scotland,Laurinburg,"815 McGirts Bridge Road, Laurinburg, NC 28352",-79.445688,34.7821424,Scotland County Schools,93.2,D,37.8,4
190312,Chatham Middle,Chatham,Siler City,"2025 South 2nd Avenue Ext, Siler City, NC 27344",-79.4481623,35.7088641,Chatham County Schools,87.2,D,43.5,3
190336,Jordan Matthews High,Chatham,Siler City,"910 East Cardinal Street, Siler City, NC 27344",-79.4511385,35.7233728,Chatham County Schools,74.3,C,46,3
10396,Walter M Williams High,Alamance,Burlington,"1307 S Church Street, Burlington, NC 27215",-79.4543311,36.0884929,Alamance-Burlington Schools,52.4,B,59.5,3
190501,Chatham School of Science & Engineering,Chatham,Siler City,"501 Martin Luther King Jr Blvd, Siler City, NC 27344",-79.4606651,35.7313745,Chatham County Schools,15,A,90.2,1
10351,Grove Park Elementary,Alamance,Burlington,"141 Trail One, Burlington, NC 27215",-79.4606761,36.0800356,Alamance-Burlington Schools,60.9,D,35.3,4
10394,Turrentine Middle,Alamance,Burlington,"1710 Edgewood Avenue, Burlington, NC 27215",-79.4623901,36.0907285,Alamance-Burlington Schools,65,D,41.5,3
630342,Pinehurst Elementary,Moore,Pinehurst,"100 Dundee Road, Pinehurst, NC 28374",-79.4630391,35.2004831,Moore County Schools,13.1,B,78.7,2
