district,code,name,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Union County Public Schools,900310,Cuthbertson Middle,5.9,A,87.4,1
Yadkin County Schools,990332,Yadkin Early College,54.3,A,87.4,1
Alexander County Schools,20303,Alexander Early College,27.5,A,87.3,1
Guilford County Schools,410502,Oak Ridge Elementary,9.2,A,87.3,1
Wake County Schools,920614,White Oak Elementary,5.8,A,87.3,1
Iredell-Statesville Schools,490307,Agriculture and Science Early College,28.9,A,87.2,1
Charlotte-Mecklenburg Schools,600569,Charlotte Teacher Early College,36,B,87,1
Cumberland County Schools,260312,Beaver Dam Elementary,56,A,86.9,1
Sampson County Schools,820320,Clement Elementary,61.2,B,86.9,1
Vance County Schools,910382,Vance Co Early College,27.8,A,86.9,1
Cumberland County Schools,260347,Cumberland International Early College,53.1,A,86.8,1
Forsyth County Schools,340560,Whitaker Elementary,15.7,A,86.8,1
Union County Public Schools,900380,Wesley Chapel Elementary,12.2,A,86.8,1
Charter Schools,84B000,Gray Stone Day,<5,A,86.8,1
Camden County Schools,150308,Grandy Primary,23.7,B,86.5,1
Forsyth County Schools,340348,Clemmons Elementary,21,A,86.4,1
Charlotte-Mecklenburg Schools,600567,Charlotte Engineering Early College-UNCC,28.9,A,86.4,1
Wake County Schools,920504,Morrisville Elementary,6.8,A,86.3,1
Wake County Schools,920523,Olive Chapel Elementary,8.3,A,86.3,1
Stanly County Schools,840361,Stanly Early College High,40.4,A,86.2,1
Charter Schools,9.20E+01,Sterling Montessori Academy,<5,B,86.2,1
Durham Public Schools,320317,City of Medicine Academy,56.3,A,86.1,1
Wilson County Schools,980364,Rock Ridge Elementary,22.8,A,86.1,1
Charter Schools,4.90E+01,Pine Lake Preparatory,<5,A,86.1,1
Charlotte-Mecklenburg Schools,600313,Bailey Middle,17.8,A,86,1
Wake County Schools,920369,Cedar Fork Elementary,10.1,A,86,1
Wake County Schools,920569,Sycamore Creek Elementary,11.1,B,86,1
Cabarrus County Schools,130319,Cox Mill Elementary,6.1,A,85.9,1
Jackson County Schools,500323,Jackson Co Early College,21.9,A,85.9,1
Guilford County Schools,410579,UNCG Early/Middle College,53.5,A,85.8,1
Charlotte-Mecklenburg Schools,600406,Hawk Ridge Elementary,8.6,A,85.8,1
Charlotte-Mecklenburg Schools,600497,Piedmont IB Middle,40.8,A,85.8,1
Wake County Schools,920526,Panther Creek High,7.2,A,85.8,1
Nash-Rocky Mount Schools,640347,NRM Early College High School,38.1,A,85.6,1
Brunswick County Schools,100340,Union Elementary,59.6,A,85.4,1
Charter Schools,41J000,Summerfield Charter Academy,14,A,85.4,1
Wayne County Public Schools,960490,Wayne Early / Middle College High,55.7,A,85.3,1
Yancey County Schools,995304,Bald Creek Elementary,58.6,A,85.3,1
Bertie County Schools,80311,Bertie Early College High,31.4,A,85.2,1
Charlotte-Mecklenburg Schools,600345,Community House Middle,12.4,A,85.1,1
Charter Schools,78B000,Southeastern Academy,39.3,A,85.1,1
Edgecombe County Public School,330326,Edgecombe Early College High,24.6,A,85,1
Forsyth County Schools,340432,Lewisville Elementary,23.1,A,85,1
Wake County Schools,920447,Holly Springs Elementary,14.7,A,85,1
Guilford County Schools,410486,Northern Guilford Elementary,11.6,B,84.8,1
Wake County Schools,920457,Holly Grove Elementary,8.3,B,84.8,1
Guilford County Schools,410399,Middle College at GTCC-Greensboro,48.9,A,84.7,1
Charlotte-Mecklenburg Schools,600382,Elizabeth Lane Elem,9.8,B,84.6,1
Wake County Schools,920444,Heritage Middle,11.4,A,84.6,1
Charlotte-Mecklenburg Schools,600537,South Charlotte Middle,19.9,A,84.4,1
Pitt County Schools,740500,Early College High School,44.2,A,84.4,1
Wake County Schools,920453,Jones Dairy Elementary,9.9,B,84.3,1
Alamance-Burlington Schools,10303,ABSS Early College at ACC,43.8,A,84.2,1
Charlotte-Mecklenburg Schools,600314,Bain Elementary,18,A,84.2,1
Union County Public Schools,900347,Poplin Elementary,19.6,B,84.2,1
Davidson County Schools,290389,Yadkin Valley Regional Career Academy,40.6,B,84.1,1
Wake County Schools,920449,Holly Ridge Elementary,17.5,A,84.1,1
Polk County Schools,750320,Saluda Elementary School,30.5,B,84,1
Union County Public Schools,900368,Unionville Elementary,27,A,84,1
Wake County Schools,920315,Apex Friendship Middle,13.1,A,84,1
Charlotte-Mecklenburg Schools,600383,Elon Park Elementary,8.5,B,83.9,1
New Hanover County Schools,650366,Dr John Codington Elem,28.1,B,83.8,1
Wake County Schools,920557,Scotts Ridge Elementary,5,B,83.8,1
Lincoln County Schools,550356,Rock Springs Elementary,16.1,A,83.7,1
Chapel Hill-Carrboro Schools,681314,East Chapel Hill High,17.1,A,83.7,1
Wake County Schools,920624,Willow Springs Elementary,21.5,A,83.7,1
Henderson County Schools,450333,Hendersonville Elementary,34.4,A,83.6,1
Charlotte-Mecklenburg Schools,600413,Highland Mill Montessori,25.4,B,83.6,1
Pender County Schools,710344,Topsail Elementary,22.8,A,83.6,1
Guilford County Schools,410559,Southwest Elementary,21.4,A,83.5,1
Watauga County Schools,950312,Blowing Rock Elementary,19.8,B,83.5,1
Charlotte-Mecklenburg Schools,600522,Selwyn Elementary,15,B,83.4,1
Chapel Hill-Carrboro Schools,681334,Rashkis Elementary,29.6,B,83.4,1
Wake County Schools,920441,Green Hope High,7.5,A,83.4,1
Iredell-Statesville Schools,490316,Central Elementary,33.8,A,83.3,1
Charter Schools,93N000,Pine Springs Prep Academy,<5,A,83.3,1
Henderson County Schools,450339,Glenn C Marlow Elementary,22.9,A,83.1,1
Charter Schools,34H000,NC Leadership Charter Academy,<5,B,83.1,1
Madison County Schools,570317,Madison Early College High,36.2,A,82.9,1
Charlotte-Mecklenburg Schools,600558,Grand Oak Elementary,16.6,B,82.8,1
Charter Schools,73B000,Roxboro Community School,7.4,B,82.8,1
Charter Schools,93M000,Peak Charter Academy,7.6,A,82.8,1
Guilford County Schools,410574,Summerfield Elementary,19.3,B,82.7,1
New Hanover County Schools,650339,Holly Tree Elementary,31.5,B,82.7,1
Robeson County Schools,780322,East Robeson Primary,83,A,82.7,1
Charter Schools,60I000,Community School of Davidson,<5,A,82.7,1
Carteret County Public Schools,160316,Harkers Island Elementary,67.7,B,82.6,1
Craven County Schools,250314,Craven Early College High,45.8,A,82.6,1
Vance County Schools,910384,STEM Early High,45.5,A,82.6,1
Forsyth County Schools,340528,Southwest Elementary,32.4,B,82.5,1
Guilford County Schools,410589,Philip J Weaver Ed Center,17.3,A,82.5,1
Harnett County Schools,430341,Harnett Early College (HCEC),38.3,B,82.3,1
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,26.4,B,82.1,1
Charlotte-Mecklenburg Schools,600491,Olde Providence Elementary,12.5,B,82.1,1
Forsyth County Schools,340536,Vienna Elementary,18.7,B,82,1
Franklin County Schools,350317,Franklin County Early College,43.6,A,82,1
Surry County Schools,860348,Shoals Elementary,45.1,B,82,1
Forsyth County Schools,340442,Meadowlark Middle,20.1,B,81.9,1
Chapel Hill-Carrboro Schools,681320,Glenwood Elementary,23.6,B,81.9,1
Charlotte-Mecklenburg Schools,600336,Chantilly Montessori,13.4,B,81.8,1
Charlotte-Mecklenburg Schools,600357,Davidson Elementary,13,B,81.8,1
Cabarrus County Schools,130337,W R Odell Elementary,12.2,A,81.7,1
Polk County Schools,750304,Tryon Elementary School,36.4,B,81.7,1
Cabarrus County Schools,130346,Hickory Ridge Middle,18.9,A,81.6,1
Wayne County Public Schools,960700,Wayne School of Engineering,25.9,A,81.6,1
Hertford County Schools,460322,Hertford Co Early College,28.8,B,81.5,1
Pitt County Schools,740362,Hope Middle,25.9,A,81.5,1
Charter Schools,27A000,Water's Edge Village School,<5,B,81.5,1
Cabarrus County Schools,130320,Harris Road Middle,13.7,A,81.4,1
Charlotte-Mecklenburg Schools,600513,Randolph Middle,42.5,B,81.4,1
Charlotte-Mecklenburg Schools,600532,Waddell Language Academy,26.9,B,81.4,1
Charter Schools,92Y000,Envision Science Academy,<5,A,81.4,1
Wake County Schools,920529,Pine Hollow Middle,14.5,B,81.3,1
Regional Schools,94Z000,Northeast Regional School - Biotech/Agri,25,B,81.3,1
Charter Schools,92F000,Franklin Academy,<5,A,81.3,1
Cabarrus County Schools,130349,Cabarrus Early College of Technology,41.1,B,81.2,1
Durham Public Schools,320348,Mangum Elementary,23.6,B,81.2,1
Charlotte-Mecklenburg Schools,600492,Park Road Montessori,9.7,B,81.2,1
Dare County Schools,280308,Kitty Hawk Elementary School,18.1,B,81.1,1
Guilford County Schools,410491,EP Pearce Elementary,18.3,B,81.1,1
New Hanover County Schools,650395,SEA-Tech,63,B,81,1
Wake County Schools,920585,Wake Young Men's Leadership Academy,39.8,B,81,1
Lincoln County Schools,550314,Catawba Springs Elementary,27.4,B,80.9,1
Madison County Schools,570306,Brush Creek Elementary,56.6,B,80.9,1
Henderson County Schools,450302,Atkinson Elementary,43.3,B,80.8,1
Chapel Hill-Carrboro Schools,681310,Seawell Elementary,24.5,B,80.8,1
Wilson County Schools,980360,New Hope Elementary,20.4,A,80.8,1
Charter Schools,68A000,Eno River Academy,<5,B,80.7,1
Moore County Schools,630368,West End Elementary,32.9,B,80.6,1
Guilford County Schools,410337,Brooks Global Elementary,39.8,B,80.5,1
Guilford County Schools,410493,Northwest Guilford Middle,12.1,B,80.5,1
Wake County Schools,920307,Alston Ridge Elementary,10.4,B,80.5,1
Craven County Schools,250378,W Jesse Gurganus Elementary,38.9,B,80.3,1
Forsyth County Schools,340311,Atkins Academic & Tech High,26,A,80.3,1
Charlotte-Mecklenburg Schools,600322,Beverly Woods Elementary,12.9,B,80.3,1
Wake County Schools,920598,Weatherstone Elementary,25.1,B,80.3,1
Charter Schools,92B000,The Exploris School,<5,B,80.2,1
Madison County Schools,570312,Hot Springs Elementary,48.9,B,80.1,1
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,13.9,B,80.1,1
Charlotte-Mecklenburg Schools,600530,Sharon Elementary,11,B,80,1
Wake County Schools,920452,Jeffreys Grove Elementary,21.5,B,80,1
Cabarrus County Schools,130307,Cox Mill High School,10.3,A,79.8,2
Lincoln County Schools,550362,St James Elementary,20.3,B,79.8,2
Chapel Hill-Carrboro Schools,681308,Chapel Hill High,20.3,A,79.8,2
Stokes County Schools,850360,Stokes Early College,34.1,A,79.8,2
Guilford County Schools,410346,Colfax Elementary,32.5,B,79.7,2
Moore County Schools,630373,West Pine Elementary,33.4,B,79.7,2
Wake County Schools,920328,Baucom Elementary,20.6,B,79.7,2
Pitt County Schools,740404,Wintergreen Intermediate,36.2,B,79.6,2
Lincoln County Schools,550364,Union Elementary,53.2,B,79.5,2
Wake County Schools,920530,Penny Road Elementary,26.7,B,79.5,2
Charter Schools,91B000,Henderson Collegiate,37,B,79.4,2
New Hanover County Schools,650338,Heyward C Bellamy Elem,43.1,B,79.3,2
Rutherford County Schools,810400,Sunshine Elementary School,46,B,79.3,2
Gaston County Schools,360380,Cramerton Middle,24.1,B,79.2,2
New Hanover County Schools,650353,Dr Hubert Eaton Sr Elem,25.4,B,79.2,2
Wake County Schools,920531,Pleasant Union Elementary,11.6,B,79.2,2
Buncombe County Schools,110366,Glen Arden Elementary,32.4,B,79.1,2
Charter Schools,55A000,Lincoln Charter School,6.9,B,79.1,2
Guilford County Schools,410437,Kernodle Middle,25.9,B,79,2
Rowan-Salisbury Schools,800394,Rowan Co Early College,54.1,B,79,2
Cherokee County Schools,200350,Tri-County Early College High,38.5,B,78.9,2
Pitt County Schools,740332,Chicod,33,B,78.9,2
Camden County Schools,150350,Camden Early College High,15.2,B,78.8,2
Wake County Schools,920459,Hortons Creek Elementary,13.6,B,78.8,2
Durham Public Schools,320323,Durham School of the Arts,35.9,A,78.7,2
Moore County Schools,630342,Pinehurst Elementary,13.1,B,78.7,2
New Hanover County Schools,650310,Charles P Murray Middle,37.6,B,78.7,2
Wake County Schools,920317,Apex Friendship High,7.7,B,78.7,2
Carteret County Public Schools,160322,Morehead City Primary,59.6,B,78.6,2
Craven County Schools,250316,Creekside Elementary,25.4,B,78.6,2
Washington County Schools,940330,Washington Early College High,28.6,B,78.6,2
Gaston County Schools,360364,Cherryville Elementary,59.4,B,78.5,2
Charter Schools,11A000,Evergreen Community Charter,11.8,B,78.5,2
Caldwell County Schools,140305,Caldwell Career Cen Mid. Coll.,43.1,A,78.4,2
Gaston County Schools,360420,Hawks Nest STEAM Academy,27.9,B,78.4,2
Charlotte-Mecklenburg Schools,600353,Crestdale Middle,25.8,B,78.4,2
Charlotte-Mecklenburg Schools,600437,Ballantyne Elementary,12.7,B,78.4,2
Polk County Schools,750317,Polk County Early College,27.6,A,78.4,2
Randolph County Schools,760329,Hopewell Elementary,45.3,B,78.4,2
Sampson County Schools,820364,Plain View Elementary,40.5,B,78.4,2
Wake County Schools,920454,Heritage Elementary,17.2,B,78.3,2
Charter Schools,60J000,Socrates Academy,5.9,B,78.3,2
Charlotte-Mecklenburg Schools,600493,Palisades Park Elementary,34,B,78.1,2
Chapel Hill-Carrboro Schools,681311,Ephesus Elementary,31.8,B,78,2
Charter Schools,16B000,Tiller School,27.4,B,78,2
Charter Schools,92V000,Wake Forest Charter Academy,10.8,B,78,2
Cabarrus County Schools,130312,Harrisburg Elementary,9.5,B,77.9,2
Charlotte-Mecklenburg Schools,600367,Dilworth Elementary School Latta Campus,24.5,B,77.9,2
Alleghany County Schools,30316,Piney Creek Elementary,49.7,B,77.8,2
Charter Schools,43C000,Anderson Creek Academy,5.6,B,77.8,2
Henderson County Schools,450340,Mills River Elementary,35.4,B,77.7,2
Iredell-Statesville Schools,490336,Lake Norman Elementary,10.7,B,77.7,2
Charlotte-Mecklenburg Schools,600433,J.V. Washam Elementary,19.9,B,77.7,2
Forsyth County Schools,340354,The Downtown School,17.4,B,77.6,2
Charter Schools,95A000,Two Rivers Community School,13.3,B,77.6,2
Anson County Schools,40328,Peachland-Polkton Elem,46.9,B,77.5,2
Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,35,B,77.5,2
Polk County Schools,750319,Polk County Middle School,51.8,B,77.5,2
Chatham County Schools,190346,Perry W Harrison Elementary,18.3,B,77.4,2
Hyde County Schools,480316,Ocracoke School,65.5,B,77.4,2
Chapel Hill-Carrboro Schools,681332,Morris Grove Elementary,17.9,B,77.4,2
Newton Conover City Schools,182322,Shuford Elementary,53.5,B,77.3,2
Chapel Hill-Carrboro Schools,681336,Smith Middle,22.5,B,77.2,2
Guilford County Schools,410490,Northwest Guilford High,11.8,A,77.1,2
Wake County Schools,920518,North Wake College and Career Academy,35.3,B,77.1,2
Charter Schools,32L000,Voyager Academy,9.8,B,77.1,2
Avery County Schools,60310,Cranberry Middle,53.2,B,77,2
Union County Public Schools,900312,Fairview Elementary,25.5,B,77,2
Wake County Schools,920571,Turner Creek Elementary,20.2,B,77,2
Charter Schools,36C000,Mountain Island Charter School,15,B,77,2
Buncombe County Schools,110322,Early College,39.6,B,76.9,2
Cumberland County Schools,260332,Eastover-Central Elementary,39.9,B,76.9,2
Chapel Hill-Carrboro Schools,681326,McDougle Elementary,31.9,B,76.9,2
Charter Schools,23A000,Pinnacle Classical Academy,20.6,B,76.9,2
New Hanover County Schools,650308,Carolina Beach Elementary,38,B,76.8,2
Chapel Hill-Carrboro Schools,681330,Scroggs Elementary,26.4,B,76.8,2
Union County Public Schools,900318,Hemby Bridge Elementary,24.8,B,76.8,2
Charter Schools,11K000,Francine Delany New School,15.5,B,76.8,2
New Hanover County Schools,650350,M C S Noble Middle,35.7,B,76.7,2
Orange County Schools,680329,Hillsborough Elementary,12.7,B,76.7,2
Durham Public Schools,320364,Pearsontown Elementary,30.1,B,76.6,2
Chapel Hill-Carrboro Schools,681324,Phillips Middle,25.3,B,76.6,2
Wake County Schools,920308,Apex Elementary,26.2,B,76.6,2
Carteret County Public Schools,160311,Broad Creek Middle,41.4,B,76.5,2
Dare County Schools,280324,First Flight Elementary School,42.5,B,76.5,2
Union County Public Schools,900358,Stallings Elementary,20.4,B,76.5,2
Wake County Schools,920312,Apex Middle,18.3,B,76.5,2
Cabarrus County Schools,130315,J N Fries Magnet School,35.1,B,76.4,2
Catawba County Schools,180356,Mountain View Elementary,38.9,B,76.4,2
Henderson County Schools,450324,Etowah Elementary,48.1,B,76.4,2
Iredell-Statesville Schools,490390,Woodland Heights Elementary,7.1,B,76.4,2
Davidson County Schools,290306,Northwest Elementary,29,B,76.3,2
Forsyth County Schools,340495,Ronald W Reagan High School,22.1,A,76.3,2
Guilford County Schools,410568,Sternberger Elementary,15.3,B,76.3,2
Iredell-Statesville Schools,490324,Cool Spring Elementary,45.1,B,76.3,2
Sampson County Schools,820352,Midway High,41.5,B,76.3,2
Pender County Schools,710346,Topsail Middle,28.4,B,76.2,2
Guilford County Schools,410326,Middle College High at Bennett,46.8,A,76.1,2
Guilford County Schools,410488,Northern Guilford Middle,25.4,B,76.1,2
Guilford County Schools,410571,Stokesdale Elementary,20.1,B,76.1,2
Pasquotank County Schools,700325,Elizabeth City Pasquotank Early College,52.5,B,76.1,2
Pender County Schools,710323,North Topsail Elementary,34.9,B,76.1,2
Wake County Schools,920473,Leesville Road High,15.9,B,76.1,2
Forsyth County Schools,340403,Jefferson Elementary,32.1,B,76,2
Wilkes County Schools,970340,Moravian Falls Elementary School,48.3,B,76,2
Chapel Hill-Carrboro Schools,681309,McDougle Middle,26,B,75.9,2
Alexander County Schools,20328,Taylorsville Elementary,42.2,B,75.8,2
Catawba County Schools,180368,Sherrills Ford Elementary,26.1,B,75.8,2
Cleveland County Schools,230380,West Elementary,50,B,75.8,2
Henderson County Schools,450342,Rugby Middle,35.3,B,75.8,2
Dare County Schools,280310,Nags Head Elementary School,42.2,B,75.7,2
Union County Public Schools,900343,Porter Ridge Middle School,28.4,B,75.7,2
Charter Schools,41G000,Cornerstone Charter Academy-CFA,11.4,B,75.7,2
Asheville City Schools,111700,School of Inquiry and Life Sciences,23.9,A,75.6,2
Gaston County Schools,360320,Belmont Central Elementary,27.6,B,75.6,2
Gaston County Schools,360510,W A Bess Elementary School,33.3,B,75.6,2
Rockingham County Schools,790302,Bethany Elementary,36,B,75.6,2
Wake County Schools,920469,Leesville Road Elementary,26.5,B,75.6,2
Charter Schools,90A000,Union Academy,9.8,B,75.6,2
Carteret County Public Schools,160314,Croatan High,33.1,A,75.5,2
Charter Schools,63B000,STARS Charter,24.7,B,75.5,2
Chapel Hill-Carrboro Schools,681304,Carrboro Elementary,31.9,B,75.4,2
Wake County Schools,920484,Lufkin Road Middle,19.6,B,75.4,2
Watauga County Schools,950322,Hardin Park Elementary,36.6,B,75.4,2
Wake County Schools,920551,Salem Middle,21.3,B,75.3,2
Wake County Schools,920581,Vernon Malone College and Career Academy,37.5,B,75.3,2
Watauga County Schools,950328,Parkway Elementary,32.3,B,75.3,2
Charter Schools,10B000,South Brunswick Charter,16.5,B,75.2,2
Craven County Schools,250304,Albert H Bangert Elementary,57.7,B,75.1,2
Wake County Schools,920548,Root Elementary,20.4,B,75.1,2
Carteret County Public Schools,160313,East Carteret High,59.8,A,75,2
Columbus County Schools,240352,Guideway Elementary,69.6,B,75,2
Cumberland County Schools,260430,Stedman Elementary,46,B,75,2
Guilford County Schools,410401,GTCC Middle College High,42.9,A,75,2
Wilkes County Schools,970310,C B Eller Elementary School,32.2,B,75,2
Davie County Schools,300328,Shady Grove Elementary,19.1,B,74.9,2
Lincoln County Schools,550344,North Lincoln High,18.6,B,74.9,2
Wake County Schools,920316,Apex High,13.9,B,74.9,2
Pender County Schools,710347,South Topsail Elementary,42.9,B,74.8,2
Pender County Schools,710350,Surf City Elementary,39.3,B,74.8,2
Wake County Schools,920468,Lacy Elementary,22.6,B,74.8,2
Charter Schools,92G000,East Wake Academy,7.4,B,74.8,2
Forsyth County Schools,340392,Hanes Magnet School,37.1,B,74.7,2
Macon County Schools,560338,South Macon Elementary,68.4,B,74.7,2
Buncombe County Schools,110428,Weaverville Elementary,41.5,B,74.6,2
Onslow County Schools,670314,Dixon Elementary,33.8,B,74.6,2
Wake County Schools,920386,Crossroads FLEX,<5,B,74.6,2
Charter Schools,60M000,Corvian Community School,<5,B,74.6,2
Macon County Schools,560324,Highlands School,41.2,B,74.5,2
Chapel Hill-Carrboro Schools,681322,Culbreth Middle,24.9,B,74.4,2
Charter Schools,45A000,The Mountain Community Sch,12.1,B,74.4,2
Cumberland County Schools,260418,Seventy-First Classical Middle,49.8,B,74.3,2
