,county,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
34,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10403,Western Alamance Middle,Elon,"2100 Eldon Drive, Elon, NC 27244",-79.5036285,36.1620485,Alamance-Burlington Schools,39.40,C,61.70,2.0
35,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10308,Altamahaw-Ossipee Elementary,Elon,"2832 N NC 87, Elon, NC 27244",-79.5104138,36.1795464,Alamance-Burlington Schools,46.80,C,61.30,2.0
36,Alamance,4.4,16.0,1.6,21.2,12.6,8.6,35.8,2.0,18.3,50480.0,10312,Highland Elementary,Burlington,"3720 Bonnar Bridge Parkway, Burlington, NC 27215",-79.5179086,36.0585018,Alamance-Burlington Schools,37.70,B,66.90,2.0
37,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20320,Stony Point Elementary,Stony Point,"311 Stony Point School Road, Stony Point, NC 28678",-81.0468615,35.8692561,Alexander County Schools,60.30,C,63.90,2.0
38,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20316,Hiddenite Elementary,Hiddenite,"374 Sulphur Springs Road, Hiddenite, NC 28636",-81.0893554,35.9071151,Alexander County Schools,61.00,C,54.00,3.0
39,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20306,East Alexander Middle,Hiddenite,"1285 White Plains Road, Hiddenite, NC 28636",-81.1199114,35.9295084,Alexander County Schools,53.60,C,57.20,3.0
40,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20303,Alexander Early College,Taylorsville,"230 Industrial Blvd, Taylorsville, NC 28681",-81.1815586,35.910777,Alexander County Schools,27.50,A,87.30,1.0
41,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20328,Taylorsville Elementary,Taylorsville,"100 7th Street SW, Taylorsville, NC 28681",-81.1828707,35.9203895,Alexander County Schools,42.20,B,75.80,2.0
42,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20302,Alexander Central High,Taylorsville,"223 School Drive, Taylorsville, NC 28681",-81.1893043,35.9167533,Alexander County Schools,38.30,B,52.70,3.0
43,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20324,Sugar Loaf Elementary,Taylorsville,"3600 NC Hwy 16N, Taylorsville, NC 28681",-81.1915002,35.9708229,Alexander County Schools,42.10,B,72.50,2.0
44,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20332,Wittenburg Elementary,Taylorsville,"7300 Church Road, Taylorsville, NC 28681",-81.2413853,35.8273613,Alexander County Schools,44.30,B,69.50,2.0
45,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20308,Ellendale Elementary,Taylorsville,"175 Ellendale Park Lane, Taylorsville, NC 28681",-81.2789738,35.9280489,Alexander County Schools,41.80,B,67.40,2.0
46,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20304,Bethlehem Elementary,Taylorsville,"7900 NC Hwy 127, Taylorsville, NC 28681",-81.3122655,35.8365179,Alexander County Schools,30.90,B,65.50,2.0
47,Alexander,2.9,0.0,1.7,27.0,17.5,5.3,12.5,2.0,18.8,49138.0,20330,West Alexander Middle,Taylorsville,"85 Bulldog Lane, Taylorsville, NC 28681",-81.3134344,35.8720999,Alexander County Schools,35.30,B,66.80,2.0
48,Alleghany,5.2,0.0,3.7,19.4,17.8,13.0,12.9,2.0,29.2,39735.0,30308,Glade Creek Elementary,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623",-80.979231,36.50085,Alleghany County Schools,66.50,B,63.80,2.0
49,Alleghany,5.2,0.0,3.7,19.4,17.8,13.0,12.9,2.0,29.2,39735.0,30304,Alleghany High,Sparta,"404 Trojan Avenue, Sparta, NC 28675",-81.1228223,36.513866,Alleghany County Schools,51.90,B,56.50,3.0
50,Alleghany,5.2,0.0,3.7,19.4,17.8,13.0,12.9,2.0,29.2,39735.0,30320,Sparta Elementary,Sparta,"450 N Main Street, Sparta, NC 28675",-81.1269367,36.5095717,Alleghany County Schools,69.90,C,53.40,3.0
51,Alleghany,5.2,0.0,3.7,19.4,17.8,13.0,12.9,2.0,29.2,39735.0,30316,Piney Creek Elementary,Piney Creek,"559 Piney Creek Sch Road, Piney Creek, NC 28663",-81.304084,36.547357,Alleghany County Schools,49.70,B,77.80,2.0
52,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40316,Lilesville Elementary,Lilesville,"121 Camden Street, Lilesville, NC 28091",-79.988673,34.963629,Anson County Schools,65.30,C,55.30,3.0
53,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40324,Morven Elementary,Morven,"6715 Hwy 52 S, Morven, NC 28119",-80.00664,34.879199,Anson County Schools,76.30,D,38.30,4.0
54,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40311,Wadesboro Primary,Wadesboro,"1542 Hwy 52 S, Wadesboro, NC 28170",-80.0577,34.941983,Anson County Schools,79.30,F,24.40,4.0
55,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40330,Wadesboro Elementary,Wadesboro,"321 Camden Road, Wadesboro, NC 28710",-80.0790723,34.9622196,Anson County Schools,71.90,F,22.00,4.0
56,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40309,Anson Middle,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170",-80.0882123,34.9896098,Anson County Schools,55.20,D,35.60,4.0
57,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40306,Anson High School,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,50.70,D,23.50,4.0
58,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40308,Ansonville Elementary,Ansonville,"9104 Hwy 52 N, Ansonville, NC 28007",-80.10718,35.1051069,Anson County Schools,42.10,B,63.90,2.0
59,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40304,Anson Co. Early College High,Polkton,"177 Ledbetter Street, Polkton, NC 28135",-80.2114155,34.9987204,Anson County Schools,33.60,B,56.50,3.0
60,Anson,8.9,39.4,2.4,28.5,15.7,12.5,55.3,1.0,29.2,38023.0,40328,Peachland-Polkton Elem,Peachland,"9633 Hwy 74 W, Peachland, NC 28133",-80.2303847,34.9950434,Anson County Schools,46.90,B,77.50,2.0
61,Ashe,5.2,0.0,1.1,12.3,12.5,5.5,7.1,2.0,23.3,41864.0,50303,Ashe County Early College High,aaUnknown,aaUnknown,aaUnknown,aaUnknown,Ashe County Schools,36.70,A,95.00,1.0
