county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Alexander,2,18.80,49138,20304,Bethlehem Elementary,Taylorsville,"7900 NC Hwy 127, Taylorsville, NC 28681",-81.3122655,35.8365179,Alexander County Schools,30.90,B,65.50,2.00
Alexander,2,18.80,49138,20330,West Alexander Middle,Taylorsville,"85 Bulldog Lane, Taylorsville, NC 28681",-81.3134344,35.8720999,Alexander County Schools,35.30,B,66.80,2.00
Alleghany,2,29.20,39735,30308,Glade Creek Elementary,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623",-80.979231,36.50085,Alleghany County Schools,66.50,B,63.80,2.00
Alleghany,2,29.20,39735,30304,Alleghany High,Sparta,"404 Trojan Avenue, Sparta, NC 28675",-81.1228223,36.513866,Alleghany County Schools,51.90,B,56.50,3.00
Alleghany,2,29.20,39735,30320,Sparta Elementary,Sparta,"450 N Main Street, Sparta, NC 28675",-81.1269367,36.5095717,Alleghany County Schools,69.90,C,53.40,3.00
Alleghany,2,29.20,39735,30316,Piney Creek Elementary,Piney Creek,"559 Piney Creek Sch Road, Piney Creek, NC 28663",-81.304084,36.547357,Alleghany County Schools,49.70,B,77.80,2.00
Anson,1,29.20,38023,40316,Lilesville Elementary,Lilesville,"121 Camden Street, Lilesville, NC 28091",-79.988673,34.963629,Anson County Schools,65.30,C,55.30,3.00
Anson,1,29.20,38023,40324,Morven Elementary,Morven,"6715 Hwy 52 S, Morven, NC 28119",-80.00664,34.879199,Anson County Schools,76.30,D,38.30,4.00
Anson,1,29.20,38023,40311,Wadesboro Primary,Wadesboro,"1542 Hwy 52 S, Wadesboro, NC 28170",-80.0577,34.941983,Anson County Schools,79.30,F,24.40,4.00
Anson,1,29.20,38023,40330,Wadesboro Elementary,Wadesboro,"321 Camden Road, Wadesboro, NC 28710",-80.0790723,34.9622196,Anson County Schools,71.90,F,22.00,4.00
