id,code,name,city,full_address,long,lat,district,county,SPgrade,EOG_18_19,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
1804,490363,Third Creek Elementary,Statesville,"361 East Barkley Road, Statesville, NC 28677",-80.8478739,35.7574461,Iredell-Statesville Schools,Iredell,C,48,3,73.3,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
1805,250308,Bridgeton Elementary,New Bern,"230 Branch Canal Road, New Bern, NC 28560",-77.042144,35.1545883,Craven County Schools,Craven,C,48,3,69.6,2.7,5.2,0.8,16.1,8.7,7.6,33.1,2,22.5,50748
1806,600453,Merry Oaks International Academy,Charlotte,"3508 Draper Ave, Charlotte, NC 28205",-80.7828269,35.2190728,Charlotte-Mecklenburg Schools,Mecklenburg,C,48,3,60.1,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
1807,430376,South Harnett Elementary,Bunnlevel,"8335 NC 210 South, Bunnlevel, NC 28323",-78.8954255,35.2979077,Harnett County Schools,Harnett,D,47.9,3,65.4,2.9,1.8,1.7,13.4,10.5,7.9,37.6,2,20.5,51225
1808,410461,McLeansville Elementary,McLeansville,"5315 Frieden Church Rd, McLeansville, NC 27301",-79.661427,36.106505,Guilford County Schools,Guilford,C,47.9,3,49.9,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
1809,920436,Garner High,Garner,"8228 Hebron Church Road, Garner, NC 27529",-78.5796774,35.6550224,Wake County Schools,Wake,C,47.9,3,40.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
1810,770348,Richmond Senior High,Rockingham,"838 US 1 North, Rockingham, NC 28379",-79.715888,34.9496275,Richmond County Schools,Richmond,C,47.8,3,68.7,0.5,26.6,2.4,31.8,17.9,14.7,42.4,1,29.1,38514
1811,410340,Monticello-Brown Summit Elem,Browns Summit,"5006 NC Highway 150 East, Browns Summit, NC 27214",-79.6742777,36.219915,Guilford County Schools,Guilford,C,47.8,3,65.7,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
1812,240332,Chadbourn Elementary,Chadbourn,"409 E Third Avenue, Chadbourn, NC 28431",-78.8215184,34.3258017,Columbus County Schools,Columbus,D,47.7,3,91.3,6.9,17.8,1.6,20.5,15,20.3,40.1,1,34,36862
1813,260352,Cumberland Road Elementary,Fayetteville,"2700 Cumberland Road, Fayetteville, NC 28306",-78.910729,35.021512,Cumberland County Schools,Cumberland,C,47.7,3,78.7,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
1814,260414,Benjamin J Martin Elementary,Fayetteville,"430 N Reilly Road, Fayetteville, NC 28303",-79.0094964,35.0929339,Cumberland County Schools,Cumberland,D,47.7,3,68.8,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
1815,830356,South Scotland Elementary,Laurinburg,"17200 Barnes Bridge Rd, Laurinburg, NC 28352",-79.4391821,34.7347983,Scotland County Schools,Scotland,C,47.7,3,64.2,8.3,29.6,1.1,31.7,17.2,20.7,55.8,1,38.4,36730
1816,170339,Oakwood Elementary,Yanceyville,"274 Oakwood Drive, Yanceyville, NC 27379",-79.33247,36.416392,Caswell County Schools,Caswell,C,47.7,3,63.9,2.4,26.5,1.6,21,19.3,12.7,38.1,1,26.5,45517
1817,510372,Pine Level Elementary,Pine Level,"304 West Blanche Street, PO Box 69, Pine Level, NC 27568",-78.2478482,35.5124922,Johnston County Schools,Johnston,C,47.7,3,56.9,1.4,2.6,1,9,11,7.3,31.8,3,15.4,60296
