id,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
474,2,19.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
475,2,49.6,11.4,0,1.8,16.5,12,7.8,5.1,2,22.4,44693
476,2,48.2,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
477,2,31.1,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
478,2,24.1,3.6,4.5,1,6.5,8.2,3.4,34.2,3,10.9,69297
479,2,54.4,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
480,2,31.6,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
481,2,22.9,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
482,2,16,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
483,2,30.5,9,0,1.8,19.8,9.3,4.9,15,3,13.5,60801
484,2,8.5,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
485,2,69.1,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
486,2,55.4,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
487,2,29.2,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
488,2,27.3,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
489,2,26.3,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
490,2,18.5,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
491,2,60.1,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
492,2,65.6,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
493,2,64,3.1,0,1.2,31.1,16.8,13.9,15.2,2,20.2,49070
494,2,40.7,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
495,2,37,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
496,2,27.1,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
497,2,58.9,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
498,2,39.1,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
499,2,24.3,0.7,5.3,1.3,7.8,5.9,3.3,29.4,3,9.2,71920
500,2,18.4,2.5,0,1.3,11.8,15.1,16.5,36.7,1,22.7,43121
501,2,29.4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
502,2,67.4,2.7,5.2,0.8,16.1,8.7,7.6,33.1,2,22.5,50748
503,2,26.1,3.1,0,1.2,31.1,16.8,13.9,15.2,2,20.2,49070
504,2,13.3,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
505,2,62,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
506,2,34.1,0,0,1,47.3,6,5.6,11.4,2,12.9,64768
507,2,33,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
508,2,28.4,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
509,2,26.7,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
510,2,20.1,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
511,2,11.6,4.4,16,1.6,21.2,12.6,8.6,35.8,2,18.3,50480
512,2,66.3,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
513,2,55.8,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
514,2,38.4,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
515,2,36,2.7,26.5,2.1,14.9,16.1,18.7,61.2,1,29.7,38430
516,2,34.6,3,0,2.6,22.8,10.2,2.8,11.5,3,12.4,64426
517,2,27.8,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
518,2,24.2,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
519,2,18.7,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
520,2,32.2,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
521,2,76.9,2.6,0,0.7,13,11.5,9.7,8.7,2,21.3,51398
522,2,41,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
523,2,20.3,1.4,2.6,1,9,11,7.3,31.8,3,15.4,60296
524,2,62.4,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
525,2,57.3,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
526,2,41.1,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
527,2,38.3,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
528,2,14.9,2.4,0,1.6,57.6,13.4,13.1,47.5,1,30.2,43569
529,2,55.7,4.1,0,0.7,45.9,16.5,15.4,10.9,2,24.4,41701
530,2,38.3,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
531,2,16,3.6,4.5,1,6.5,8.2,3.4,34.2,3,10.9,69297
532,2,62.4,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
533,2,60,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
534,2,41.3,0.7,5.3,1.3,7.8,5.9,3.3,29.4,3,9.2,71920
535,2,66.8,2.1,33.2,1.2,10.4,13.8,11,46,1,29.4,41572
536,2,50.7,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
537,2,47.8,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
538,2,56.1,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
539,2,51.7,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
540,2,45.3,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
541,2,37,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
542,2,32.8,8.9,13.7,1.5,23.3,11.1,9.4,33.2,2,22.6,50149
543,2,14.9,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
544,2,39.1,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
545,2,21.8,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
546,2,64.6,4.6,8.9,0.5,14.4,7.8,10.3,17,3,19,60163
547,2,58.2,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
548,2,46.1,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
549,2,34.8,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
550,2,28.9,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
