EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
3,88.30,3.00,0.00,1.50,14.30,9.70,6.70,23.90,3,20.80,54900
4,87.90,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,87.90,5.80,7.10,0.80,24.80,8.80,6.00,23.30,3,13.00,60044
4,87.80,1.10,27.90,1.50,23.30,9.80,9.50,42.70,2,23.00,50112
4,87.60,2.70,5.20,0.80,16.10,8.70,7.60,33.10,2,22.50,50748
3,87.50,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,87.20,0.90,11.20,0.40,14.20,12.30,5.70,27.30,3,13.10,73703
3,87.00,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,86.30,4.00,13.00,1.30,6.70,11.90,10.20,41.40,2,18.40,58956
2,86.20,3.30,3.50,1.40,13.70,17.50,9.90,20.30,2,19.10,48372
4,86.00,4.20,21.20,1.70,13.70,13.50,11.30,50.30,1,37.20,40433
5,85.90,4.80,0.00,2.00,13.80,11.20,7.60,50.00,1,20.70,50122
3,85.90,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,85.90,0.20,18.60,1.10,22.10,9.10,8.00,49.30,2,22.10,52166
3,85.80,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
3,85.60,2.00,20.50,0.90,9.90,11.50,8.60,56.60,3,18.90,59329
3,85.50,6.30,18.90,1.30,11.50,6.30,8.30,21.60,3,20.00,53419
4,85.40,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
2,85.30,0.90,11.20,0.40,14.20,12.30,5.70,27.30,3,13.10,73703
3,85.20,0.80,11.80,1.00,4.80,12.60,9.20,35.70,2,18.70,57710
3,85.20,2.40,16.20,0.90,7.10,19.10,15.80,44.70,1,41.80,36976
4,85.20,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
4,85.10,4.40,16.00,1.60,21.20,12.60,8.60,35.80,2,18.30,50480
4,85.00,1.60,28.70,0.90,26.60,23.40,14.30,48.20,1,27.30,42725
4,85.00,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
2,85.00,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
3,85.00,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
4,84.80,4.80,0.00,2.00,13.80,11.20,7.60,50.00,1,20.70,50122
3,84.70,4.60,8.90,0.50,14.40,7.80,10.30,17.00,3,19.00,60163
3,84.60,6.90,17.80,1.60,20.50,15.00,20.30,40.10,1,34.00,36862
3,84.60,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,84.60,4.20,22.90,2.00,8.60,20.70,11.00,36.30,2,24.10,47757
2,84.50,9.90,39.30,1.40,19.10,19.80,19.30,74.20,1,34.70,35407
3,84.50,4.20,22.90,2.00,8.60,20.70,11.00,36.30,2,24.10,47757
3,84.40,5.00,0.00,1.80,29.20,11.80,12.00,33.80,1,26.20,46411
4,84.40,2.20,22.50,1.90,18.40,16.70,12.70,52.50,1,29.60,44015
4,84.40,2.10,33.20,1.20,10.40,13.80,11.00,46.00,1,29.40,41572
3,84.10,3.30,3.50,1.40,13.70,17.50,9.90,20.30,2,19.10,48372
3,84.00,0.50,26.60,2.40,31.80,17.90,14.70,42.40,1,29.10,38514
