District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Craven County Schools,250314,Craven Early College High,09-13,45.8,A,82.6,,,
Vance County Schools,910384,STEM Early High,06-08,45.5,A,82.6,,,
Forsyth County Schools,340528,Southwest Elementary,PK-05,32.4,B,82.5,,,
Guilford County Schools,410589,Philip J Weaver Ed Center,09-12,17.3,A,82.5,,,
Harnett County Schools,430341,Harnett Early College (HCEC),09-13,38.3,B,82.3,,,
Charlotte-Mecklenburg Schools,600420,Huntersville Elementary,0K-05,26.4,B,82.1,,,
Charlotte-Mecklenburg Schools,600491,Olde Providence Elementary,0K-05,12.5,B,82.1,,,
Forsyth County Schools,340536,Vienna Elementary,PK-05,18.7,B,82.0,,,
Franklin County Schools,350317,Franklin County Early College,09-13,43.6,A,82.0,,,
Surry County Schools,860348,Shoals Elementary,PK-05,45.1,B,82.0,,,
Forsyth County Schools,340442,Meadowlark Middle,06-08,20.1,B,81.9,,,
Chapel Hill-Carrboro Schools,681320,Glenwood Elementary,0K-05,23.6,B,81.9,,,
Charlotte-Mecklenburg Schools,600336,Chantilly Montessori,PK-06,13.4,B,81.8,,,
Charlotte-Mecklenburg Schools,600357,Davidson Elementary,0K-06,13.0,B,81.8,,,
Cabarrus County Schools,130337,W R Odell Elementary,03-05,12.2,A,81.7,,,
Polk County Schools,750304,Tryon Elementary School,PK-05,36.4,B,81.7,,,
Cabarrus County Schools,130346,Hickory Ridge Middle,06-08,18.9,A,81.6,,,
Wayne County Public Schools,960700,Wayne School of Engineering,06-13,25.9,A,81.6,,,
Hertford County Schools,460322,Hertford Co Early College,09-13,28.8,B,81.5,,,
Pitt County Schools,740362,Hope Middle,06-08,25.9,A,81.5,,,
Charter Schools,27A000,Water's Edge Village School,0K-08,<5,B,81.5,,,
Cabarrus County Schools,130320,Harris Road Middle,06-08,13.7,A,81.4,,,
Charlotte-Mecklenburg Schools,600513,Randolph Middle,06-08,42.5,B,81.4,,,
Charlotte-Mecklenburg Schools,600532,Waddell Language Academy,0K-08,26.9,B,81.4,,,
Charter Schools,92Y000,Envision Science Academy,0K-08,<5,A,81.4,,,
Wake County Schools,920529,Pine Hollow Middle,06-08,14.5,B,81.3,,,
Regional Schools,94Z000,Northeast Regional School - Biotech/Agri,09-13,25.0,B,81.3,,,
Charter Schools,92F000,Franklin Academy,0K-12,<5,A,81.3,,,
Cabarrus County Schools,130349,Cabarrus Early College of Technology,09-11,41.1,B,81.2,,,
Durham Public Schools,320348,Mangum Elementary,0K-05,23.6,B,81.2,,,
Charlotte-Mecklenburg Schools,600492,Park Road Montessori,PK-06,9.7,B,81.2,,,
Dare County Schools,280308,Kitty Hawk Elementary School,0K-05,18.1,B,81.1,,,
Guilford County Schools,410491,EP Pearce Elementary,0K-05,18.3,B,81.1,,,
New Hanover County Schools,650395,SEA-Tech,09-10,63.0,B,81.0,,,
Wake County Schools,920585,Wake Young Men's Leadership Academy,06-13,39.8,B,81.0,,,
Lincoln County Schools,550314,Catawba Springs Elementary,PK-05,27.4,B,80.9,,,
Madison County Schools,570306,Brush Creek Elementary,0K-05,56.6,B,80.9,,,
Henderson County Schools,450302,Atkinson Elementary,0K-05,43.3,B,80.8,,,
Chapel Hill-Carrboro Schools,681310,Seawell Elementary,PK-05,24.5,B,80.8,,,
Wilson County Schools,980360,New Hope Elementary,0K-05,20.4,A,80.8,,,
Charter Schools,68A000,Eno River Academy,0K-12,<5,B,80.7,,,
Moore County Schools,630368,West End Elementary,PK-05,32.9,B,80.6,,,
Guilford County Schools,410337,Brooks Global Elementary,0K-05,39.8,B,80.5,,,
Guilford County Schools,410493,Northwest Guilford Middle,06-08,12.1,B,80.5,,,
Wake County Schools,920307,Alston Ridge Elementary,PK-05,10.4,B,80.5,,,
Craven County Schools,250378,W Jesse Gurganus Elementary,0K-05,38.9,B,80.3,,,
Forsyth County Schools,340311,Atkins Academic & Tech High,09-12,26.0,A,80.3,,,
Charlotte-Mecklenburg Schools,600322,Beverly Woods Elementary,0K-05,12.9,B,80.3,,,
Wake County Schools,920598,Weatherstone Elementary,PK-05,25.1,B,80.3,,,
Charter Schools,92B000,The Exploris School,0K-08,<5,B,80.2,,,
Madison County Schools,570312,Hot Springs Elementary,0K-05,48.9,B,80.1,,,
Charlotte-Mecklenburg Schools,600312,William Amos Hough High,09-12,13.9,B,80.1,,,
Charlotte-Mecklenburg Schools,600530,Sharon Elementary,0K-05,11.0,B,80.0,,,
Wake County Schools,920452,Jeffreys Grove Elementary,PK-05,21.5,B,80.0,,,
Cabarrus County Schools,130307,Cox Mill High School,09-12,10.3,A,79.8,,,
Lincoln County Schools,550362,St James Elementary,PK-05,20.3,B,79.8,,,
Chapel Hill-Carrboro Schools,681308,Chapel Hill High,09-12,20.3,A,79.8,,,
Stokes County Schools,850360,Stokes Early College,09-13,34.1,A,79.8,,,
Guilford County Schools,410346,Colfax Elementary,PK-05,32.5,B,79.7,,,
Moore County Schools,630373,West Pine Elementary,0K-05,33.4,B,79.7,,,
Wake County Schools,920328,Baucom Elementary,PK-05,20.6,B,79.7,,,
Pitt County Schools,740404,Wintergreen Intermediate,03-05,36.2,B,79.6,,,
Lincoln County Schools,550364,Union Elementary,0K-05,53.2,B,79.5,,,
Wake County Schools,920530,Penny Road Elementary,0K-05,26.7,B,79.5,,,
Charter Schools,91B000,Henderson Collegiate,0K-12,37.0,B,79.4,,,
New Hanover County Schools,650338,Heyward C Bellamy Elem,01-05,43.1,B,79.3,,,
Rutherford County Schools,810400,Sunshine Elementary School,PK-05,46.0,B,79.3,,,
Gaston County Schools,360380,Cramerton Middle,06-08,24.1,B,79.2,,,
New Hanover County Schools,650353,Dr Hubert Eaton Sr Elem,0K-05,25.4,B,79.2,,,
Wake County Schools,920531,Pleasant Union Elementary,PK-05,11.6,B,79.2,,,
Buncombe County Schools,110366,Glen Arden Elementary,0K-04,32.4,B,79.1,,,
Charter Schools,55A000,Lincoln Charter School,0K-12,6.9,B,79.1,,,
Guilford County Schools,410437,Kernodle Middle,06-08,25.9,B,79.0,,,
Rowan-Salisbury Schools,800394,Rowan Co Early College,09-12,54.1,B,79.0,,,
Cherokee County Schools,200350,Tri-County Early College High,09-13,38.5,B,78.9,,,
Pitt County Schools,740332,Chicod,PK-08,33.0,B,78.9,,,
Camden County Schools,150350,Camden Early College High,09-13,15.2,B,78.8,,,
Wake County Schools,920459,Hortons Creek Elementary,PK-05,13.6,B,78.8,,,
Durham Public Schools,320323,Durham School of the Arts,06-12,35.9,A,78.7,,,
Moore County Schools,630342,Pinehurst Elementary,0K-05,13.1,B,78.7,,,
New Hanover County Schools,650310,Charles P Murray Middle,06-08,37.6,B,78.7,,,
Wake County Schools,920317,Apex Friendship High,09-12,7.7,B,78.7,,,
Carteret County Public Schools,160322,Morehead City Primary,PK-03,59.6,B,78.6,,,
Craven County Schools,250316,Creekside Elementary,0K-05,25.4,B,78.6,,,
