District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
McDowell County Schools,590344,Pleasant Gardens Elementary School,PK-05,56.0,C,56.5,,,
Charlotte-Mecklenburg Schools,600446,Mallard Creek Elementary,0K-05,54.8,C,56.5,,,
Vance County Schools,910356,Pinkston Street Elementary,PK-05,82.5,C,56.5,,,
Wake County Schools,920593,Wakefield Elementary,PK-05,42.8,C,56.5,,,
Alamance-Burlington Schools,010388,Southern Alamance High,09-12,34.5,C,56.4,,,
Beaufort County Schools,070325,Chocowinity Middle,05-08,65.1,C,56.4,,,
Buncombe County Schools,110444,Woodfin Elementary,0K-05,45.5,C,56.4,,,
Caldwell County Schools,140368,William Lenoir Middle,06-08,57.5,C,56.4,,,
Franklin County Schools,350310,Bunn Middle,06-08,62.9,C,56.4,,,
Granville County Schools,390320,G. C. Hawley Middle,06-08,39.5,C,56.4,,,
Bladen County Schools,090317,Bladenboro Primary,PK-04,83.9,C,56.3,,,
Duplin County Schools,310360,North Duplin Elementary,PK-06,64.8,C,56.3,,,
Lincoln County Schools,550340,Childers Elementary,PK-05,59.9,C,56.3,,,
Pitt County Schools,740358,G R Whitfield,PK-08,64.8,C,56.3,,,
Watauga County Schools,950324,Mabel Elementary,0K-08,59.6,C,56.3,,,
Avery County Schools,060316,Crossnore Elementary,PK-05,58.5,C,56.2,,,
Buncombe County Schools,110308,Barnardsville Elementary,0K-04,61.8,C,56.2,,,
Jackson County Schools,500304,Cullowhee Valley School,0K-08,59.7,C,56.2,,,
Pamlico County Schools,690316,Pamlico County Middle,06-08,48.8,C,56.2,,,
Charter Schools,93R000,Raleigh Oak Charter,0K-04,5.1,C,56.2,,,
Henderson County Schools,450336,Hillandale Elementary,0K-05,67.9,C,56.1,,,
Johnston County Schools,510359,McGee's Crossroads Middle,06-08,37.3,C,56.1,,,
Pender County Schools,710328,Penderlea Elementary,PK-08,75.5,C,56.1,,,
Robeson County Schools,780398,Rowland Norment Elementary,PK-03,87.5,C,56.1,,,
Rowan-Salisbury Schools,800368,Morgan Elementary,PK-05,57.8,C,56.1,,,
Wake County Schools,920368,Cary High,09-12,28.6,C,56.1,,,
Newton Conover City Schools,182321,Newton-Conover Middle,06-08,59.2,C,56.0,,,
Franklin County Schools,350308,Bunn High,09-12,53.1,B,56.0,,,
Onslow County Schools,670364,White Oak High,09-12,47.3,B,56.0,,,
Pasquotank County Schools,700324,Sheep-Harney Elementary,PK-05,52.3,C,56.0,,,
Rowan-Salisbury Schools,800356,Granite Quarry Elementary,PK-05,57.2,C,56.0,,,
Durham Public Schools,320332,Forest View Elementary,0K-05,57.3,C,55.9,,,
Rockingham County Schools,790347,Lincoln Elementary,PK-05,57.1,C,55.9,,,
Charter Schools,41F000,Triad Math and Science Academy,0K-12,62.6,C,55.9,,,
Beaufort County Schools,070328,John Small Elementary,04-05,65.2,C,55.8,,,
Cabarrus County Schools,130318,C C Griffin Middle,06-08,50.7,C,55.8,,,
Chatham County Schools,190316,Chatham Central High,09-12,37.3,B,55.8,,,
Gaston County Schools,360376,Costner Elementary,PK-05,49.5,C,55.8,,,
Gaston County Schools,360426,Holbrook Middle,06-08,65.3,C,55.8,,,
Jones County Schools,520308,Comfort Elementary,PK-06,71.2,C,55.8,,,
Stanly County Schools,840332,North Stanly High,09-12,38.2,B,55.8,,,
Wake County Schools,920540,Rand Road Elementary,PK-05,36.0,C,55.8,,,
Burke County Schools,120316,Forest Hill Elementary,PK-05,79.5,C,55.7,,,
Whiteville City Schools,241316,Whiteville High,09-12,70.3,B,55.7,,,
Cumberland County Schools,260364,Alderman Road Elementary,PK-05,55.8,C,55.7,,,
Haywood County Schools,440390,Tuscola High,09-12,39.3,C,55.7,,,
Jones County Schools,520304,Pollocksville Elementary,PK-06,65.6,C,55.7,,,
Nash-Rocky Mount Schools,640348,Nashville Elementary,PK-05,57.0,C,55.7,,,
Davie County Schools,300336,William R Davie Elementary,PK-05,56.0,C,55.6,,,
Gaston County Schools,360448,McAdenville Elementary,0K-05,55.0,C,55.6,,,
Gates County Schools,370308,Central Middle School,06-08,49.0,C,55.6,,,
Asheboro City Schools,761304,Asheboro High,09-12,66.1,B,55.6,,,
Richmond County Schools,770340,L J Bell Elementary,PK-05,74.6,C,55.6,,,
Rowan-Salisbury Schools,800348,Enochville Elementary,0K-05,58.7,C,55.6,,,
Wake County Schools,920595,Wakefield High,09-12,26.3,C,55.6,,,
Catawba County Schools,180343,Lyle Creek Elementary,PK-06,64.2,C,55.5,,,
Gaston County Schools,360431,John Chavis Middle School,06-08,57.8,C,55.5,,,
Haywood County Schools,440320,Canton Middle,06-08,59.3,C,55.5,,,
Hoke County Schools,470442,Sandy Grove Middle,06-08,60.1,C,55.5,,,
Yadkin County Schools,990324,Jonesville Elementary,PK-06,75.8,C,55.5,,,
Davidson County Schools,290384,Welcome Elementary,PK-05,50.7,C,55.4,,,
Davie County Schools,300320,Mocksville Elementary,PK-05,60.8,C,55.4,,,
Durham Public Schools,320318,Club Boulevard Elementary,0K-05,57.4,C,55.4,,,
Harnett County Schools,430386,Western Harnett Middle,06-08,51.9,C,55.4,,,
Asheboro City Schools,761308,South Asheboro Middle,06-08,67.2,C,55.4,,,
Rowan-Salisbury Schools,800366,Millbridge Elementary,0K-05,44.8,C,55.4,,,
Wake County Schools,920393,Dillard Drive Elementary,PK-05,61.4,C,55.4,,,
Yancey County Schools,995312,Burnsville Elementary,PK-05,61.5,C,55.4,,,
Charter Schools,09B000,Emereau Bladen,0K-07,40.0,C,55.4,,,
Anson County Schools,040316,Lilesville Elementary,0K-05,65.3,C,55.3,,,
Guilford County Schools,410547,Southeast Guilford High,09-12,37.6,B,55.3,,,
Charlotte-Mecklenburg Schools,600438,Lansdowne Elementary,0K-05,42.3,C,55.3,,,
Charlotte-Mecklenburg Schools,600444,Long Creek Elementary,PK-05,51.6,C,55.3,,,
Person County Schools,730340,North End Elementary,0K-05,57.6,C,55.3,,,
Randolph County Schools,760336,New Market Elementary,0K-05,55.7,C,55.3,,,
Wake County Schools,920415,Fox Road Elementary,0K-05,75.6,C,55.3,,,
Wake County Schools,920525,Partnership Elementary,0K-05,35.2,C,55.3,,,
Alamance-Burlington Schools,010324,Eastern Alamance High,09-12,36.9,C,55.2,,,
Cabarrus County Schools,130324,Mount Pleasant High,09-12,28.3,C,55.2,,,
Newton Conover City Schools,182324,South Newton Elementary,PK-05,73.0,C,55.2,,,
Columbus County Schools,240380,West Columbus High,09-12,73.9,B,55.2,,,
Franklin County Schools,350330,Laurel Mill Elementary,PK-05,78.1,C,55.2,,,
Guilford County Schools,410322,Archer Elementary,PK-05,54.5,C,55.2,,,
Charlotte-Mecklenburg Schools,600338,Clear Creek Elementary,PK-05,53.9,C,55.2,,,
Orange County Schools,680336,Pathways Elementary,PK-05,41.5,C,55.2,,,
Stanly County Schools,840358,South Stanly Middle,06-08,52.4,C,55.2,,,
Caldwell County Schools,140344,Happy Valley Elementary,PK-08,61.8,C,55.1,,,
Craven County Schools,250312,Brinson Memorial Elementary,0K-05,54.0,C,55.1,,,
Craven County Schools,250356,New Bern High,09-12,51.1,C,55.1,,,
Gaston County Schools,360550,Gaston Virtual Academy,04-09,<5,C,55.1,,,
Johnston County Schools,510406,West Johnston High,09-12,28.9,C,55.1,,,
Macon County Schools,560328,Iotla Valley Elementary,PK-04,63.6,C,55.1,,,
Cabarrus County Schools,130314,Concord High,09-12,51.3,B,55.0,,,
Caldwell County Schools,140312,Davenport A+ School,PK-05,77.2,C,55.0,,,
Guilford County Schools,410545,Academy at Smith,09-12,80.0,B,55.0,,,
Charlotte-Mecklenburg Schools,600440,Lebanon Road Elementary,PK-05,42.4,C,55.0,,,
Onslow County Schools,670330,Morton Elementary,PK-05,58.9,C,55.0,,,
Sampson County Schools,820372,Roseboro-Salemburg Middle,06-08,72.7,C,55.0,,,
Wake County Schools,920398,Durant Road Elementary,PK-05,45.2,C,55.0,,,
Wilkes County Schools,970312,C C Wright Elementary School,PK-05,46.9,C,55.0,,,
Charter Schools,35B000,Youngsville Academy,0K-05,<5,C,55.0,,,
Edenton-Chowan Schools,210304,Chowan Middle,06-08,65.9,C,54.9,,,
Graham County Schools,380308,Robbinsville High,PK-12,52.5,C,54.9,,,
Guilford County Schools,410463,Mendenhall Middle,06-08,57.8,C,54.9,,,
Moore County Schools,630356,Southern Pines Elementary,03-05,57.7,C,54.9,,,
Onslow County Schools,670343,Southwest Elementary,PK-05,53.9,C,54.9,,,
Craven County Schools,250350,James W Smith Elementary,PK-05,74.4,C,54.8,,,
Charlotte-Mecklenburg Schools,600434,Kennedy Middle,06-08,51.4,C,54.8,,,
Randolph County Schools,760338,Northeastern Randolph Middle,06-08,50.3,C,54.8,,,
Wilson County Schools,980380,Speight Middle,06-08,33.9,C,54.8,,,
Buncombe County Schools,110401,Enka Middle,07-08,60.1,C,54.7,,,
Catawba County Schools,180364,River Bend Middle,07-08,57.8,C,54.7,,,
Clay County Schools,220310,Hayesville High,09-12,42.3,B,54.7,,,
Johnston County Schools,510364,Archer Lodge Middle,06-08,30.9,C,54.7,,,
Orange County Schools,680327,Gravelly Hill Middle,06-08,46.6,C,54.7,,,
Wake County Schools,920512,North Garner Middle,06-08,50.8,C,54.7,,,
Forsyth County Schools,340496,R J Reynolds High,09-12,45.7,B,54.6,,,
Guilford County Schools,410409,Hunter Elementary,PK-05,66.7,C,54.6,,,
Guilford County Schools,410535,Sedalia Elementary,PK-05,58.5,C,54.6,,,
Charlotte-Mecklenburg Schools,600415,Hopewell High,09-12,42.1,C,54.6,,,
Randolph County Schools,760316,Coleridge Elementary,0K-05,64.6,C,54.6,,,
Beaufort County Schools,070327,John C Tayloe Elementary,02-03,63.2,C,54.5,,,
Bladen County Schools,090376,Bladen Early College,09-10,74.5,C,54.5,,,
Cumberland County Schools,260365,R Max Abbott Middle,06-08,57.8,C,54.5,,,
Davidson County Schools,290307,Southmont Elementary,PK-05,63.6,C,54.5,,,
Henderson County Schools,450301,Apple Valley Middle,06-08,69.4,C,54.5,,,
Charlotte-Mecklenburg Schools,600549,Steele Creek Elementary,0K-05,68.6,C,54.5,,,
Rowan-Salisbury Schools,800347,Shive Elementary,PK-05,51.1,C,54.5,,,
Wake County Schools,920636,Zebulon Middle,06-08,59.8,C,54.5,,,
Catawba County Schools,180360,Oxford Elementary,PK-06,64.9,C,54.4,,,
Cherokee County Schools,200336,Ranger Elementary/Middle,PK-08,49.2,C,54.4,,,
Alamance-Burlington Schools,010400,Western Alamance High,09-12,28.6,C,54.3,,,
Burke County Schools,120360,Mull Elementary,PK-05,60.4,C,54.3,,,
Clay County Schools,220312,Hayesville Middle,05-08,55.3,C,54.3,,,
Franklin County Schools,350321,Franklinton High,09-12,42.3,B,54.3,,,
Charlotte-Mecklenburg Schools,600509,Quail Hollow Middle,06-08,36.1,C,54.3,,,
Onslow County Schools,670356,Trexler Middle,06-08,51.4,C,54.3,,,
Pitt County Schools,740396,Stokes,PK-08,55.6,C,54.3,,,
Randolph County Schools,760378,Archdale-Trinity Middle,07-08,46.0,C,54.3,,,
Wake County Schools,920360,Carroll Middle,06-08,46.9,C,54.3,,,
Charter Schools,60N000,Aristotle Preparatory Academy,0K-06,73.5,C,54.3,,,
Charlotte-Mecklenburg Schools,600418,Croft Community Elementary,PK-05,47.7,D,54.2,,,
Wake County Schools,920394,Dillard Drive Middle,06-08,48.4,D,54.2,,,
Guilford County Schools,410421,Jamestown Middle,06-08,58.9,C,54.2,,,
Johnston County Schools,510356,Glendale-Kenly Elementary,PK-05,63.0,C,54.2,,,
Yadkin County Schools,990312,East Bend Elementary,PK-06,62.7,C,54.2,,,
Charter Schools,61K000,United Community School,0K-06,17.3,C,54.2,,,
Charter Schools,53B000,Ascend Leadership Academy Lee County,06-07,17.4,D,54.1,,,
Brunswick County Schools,100348,West Brunswick High,09-12,57.3,C,54.1,,,
Alexander County Schools,020316,Hiddenite Elementary,PK-05,61.0,C,54.0,,,
Burke County Schools,120390,Walter R Johnson Middle,06-08,81.5,C,54.0,,,
Wake County Schools,920546,Rolesville High,09-12,39.6,C,54.0,,,
Wayne County Public Schools,960324,Charles B Aycock High,09-12,42.1,C,54.0,,,
Catawba County Schools,180332,Claremont Elementary,PK-06,66.7,C,53.9,,,
Hickory City Schools,181318,Hickory Career Arts Magnet High School,06-12,53.7,C,53.9,,,
Columbus County Schools,240388,Williams Township,PK-08,69.5,C,53.9,,,
Graham County Schools,380306,Robbinsville Elementary,PK-06,68.4,C,53.9,,,
Charlotte-Mecklenburg Schools,600462,Mountain Island Lake Academy,PK-08,37.4,C,53.9,,,
Charlotte-Mecklenburg Schools,600490,Olympic High,09-12,44.9,B,53.9,,,
Onslow County Schools,670340,Richlands High,09-12,42.9,B,53.9,,,
Rowan-Salisbury Schools,800392,Rockwell Elementary,PK-05,45.7,C,53.9,,,
Charter Schools,65F000,Coastal Preparatory Academy,0K-07,16.4,C,53.9,,,
Johnston County Schools,510358,McGee's Crossroads Elem,PK-05,44.4,C,53.8,,,
Lincoln County Schools,550332,Lincolnton High,09-12,60.5,C,53.8,,,
Stanly County Schools,840342,Oakboro Choice STEM,0K-08,41.0,C,53.8,,,
Wilson County Schools,980318,Beddingfield High,09-12,24.1,C,53.8,,,
Caswell County Schools,170342,South Elementary,PK-05,50.7,C,53.7,,,
Catawba County Schools,180372,Saint Stephens Elementary,PK-06,46.5,C,53.7,,,
Hickory City Schools,181316,Grandview Middle,06-08,74.0,C,53.7,,,
Iredell-Statesville Schools,490326,East Iredell Elementary,PK-05,62.7,C,53.7,,,
Person County Schools,730350,Person Early College Innovation & Ldrshp,09-11,37.8,C,53.7,,,
Wilkes County Schools,970320,East Wilkes High School,09-12,41.3,B,53.7,,,
Charter Schools,92L000,Torchlight Academy,0K-08,50.3,C,53.7,,,
Alamance-Burlington Schools,010347,Audrey W. Garrett Elementary,PK-05,55.9,C,53.6,,,
Harnett County Schools,430371,Overhills High,09-12,43.9,B,53.6,,,
Charlotte-Mecklenburg Schools,600503,Piney Grove Elementary,PK-05,48.5,C,53.6,,,
Randolph County Schools,760320,Farmer Elementary,0K-05,56.5,C,53.6,,,
Richmond County Schools,770310,East Rockingham Elementary,0K-05,84.0,C,53.6,,,
Warren County Schools,930348,Vaughan Elementary,PK-05,59.7,C,53.6,,,
Wake County Schools,920396,Douglas Elementary,PK-05,32.9,D,53.5,,,
Cumberland County Schools,260348,Cumberland Mills Elementary,PK-05,62.8,C,53.5,,,
Lexington City Schools,291340,Pickett Elementary School,01-05,64.6,C,53.5,,,
Asheboro City Schools,761332,Lindley Park Elementary,0K-05,72.5,C,53.5,,,
Stanly County Schools,840328,North Stanly Middle,06-08,51.4,C,53.5,,,
Alleghany County Schools,030320,Sparta Elementary,PK-08,69.9,C,53.4,,,
Gaston County Schools,360310,Ashbrook High,09-12,60.7,B,53.4,,,
Harnett County Schools,430358,Lillington-Shawtown Elementary,PK-05,59.2,C,53.4,,,
Charlotte-Mecklenburg Schools,600426,Independence High,09-12,51.1,B,53.4,,,
Pitt County Schools,740402,Wellcome Middle,06-08,73.4,C,53.4,,,
Sampson County Schools,820370,Union Middle,06-08,73.8,C,53.4,,,
Charter Schools,60B000,Sugar Creek Charter,0K-12,79.2,C,53.4,,,
Charter Schools,61X000,Mountain Island Day Community Charter,0K-11,9.2,C,53.4,,,
Charter Schools,66A000,KIPP Gaston College Preparatory,0K-12,43.0,C,53.4,,,
Duplin County Schools,310308,Beulaville Elementary,PK-08,59.8,C,53.3,,,
Lenoir County Public Schools,540312,E B Frink Middle,06-08,66.3,C,53.3,,,
Lincoln County Schools,550360,S Ray Lowder Elementary,PK-05,46.8,C,53.3,,,
Charlotte-Mecklenburg Schools,600351,Coulwood STEM Academy,06-08,44.3,C,53.3,,,
Perquimans County Schools,720320,Perquimans County Middle,06-08,59.7,C,53.3,,,
Robeson County Schools,780340,Long Branch Elementary,PK-04,87.0,C,53.3,,,
Surry County Schools,860352,Surry Central High,09-12,60.0,C,53.3,,,
Wake County Schools,920488,Lynn Road Elementary,PK-05,54.5,C,53.3,,,
Burke County Schools,120364,Oak Hill Elementary,PK-05,54.3,C,53.2,,,
Lenoir County Public Schools,540344,Woodington Middle,06-08,61.3,C,53.2,,,
Lincoln County Schools,550368,West Lincoln High,09-12,46.6,C,53.2,,,
Rockingham County Schools,790314,Dalton McMichael High,09-12,42.8,C,53.2,,,
Wayne County Public Schools,960382,Spring Creek Elementary,PK-04,72.7,C,53.2,,,
Bertie County Schools,080348,Aulander Elementary,PK-05,63.9,C,53.1,,,
Bladen County Schools,090320,Clarkton School of Discovery,05-08,71.2,C,53.1,,,
Newton Conover City Schools,182316,Newton-Conover High,09-12,53.7,B,53.1,,,
Harnett County Schools,430370,Overhills Middle,06-08,57.5,C,53.1,,,
Rockingham County Schools,790350,Monroeton Elementary,PK-05,60.2,C,53.1,,,
Brunswick County Schools,100335,South Brunswick Middle,06-08,61.9,C,53.0,,,
Cumberland County Schools,260427,South View High,09-12,64.9,B,53.0,,,
Guilford County Schools,410522,Pilot Elementary,PK-05,59.9,C,53.0,,,
Halifax County Schools,420348,Pittman Elementary Leadership Academy,PK-05,68.8,C,53.0,,,
Moore County Schools,630376,Westmoore Elementary,0K-08,55.7,C,53.0,,,
Onslow County Schools,670336,Northwoods Park Middle,06-08,55.4,C,53.0,,,
Randolph County Schools,760359,Southmont Elementary,PK-05,62.8,C,53.0,,,
Cleveland County Schools,230370,Union Elementary,PK-05,52.6,C,52.9,,,
Pender County Schools,710316,Burgaw Middle,PK-08,88.3,C,52.9,,,
Sampson County Schools,820388,Union High,09-12,70.1,C,52.9,,,
Wayne County Public Schools,960340,Greenwood Middle,05-08,57.2,C,52.9,,,
Davidson County Schools,290367,South Davidson Middle,06-08,57.7,C,52.8,,,
Duplin County Schools,310344,East Duplin High,09-12,56.6,B,52.8,,,
Franklin County Schools,350312,Cedar Creek Middle,06-08,52.9,C,52.8,,,
Guilford County Schools,410595,Western Guilford High,09-12,50.9,C,52.8,,,
Rutherford County Schools,810396,Spindale Elementary School,PK-05,64.0,C,52.8,,,
Wake County Schools,920608,West Millbrook Middle,06-08,46.9,C,52.8,,,
Alexander County Schools,020302,Alexander Central High,09-12,38.3,B,52.7,,,
Gaston County Schools,360432,Kiser Elementary,03-05,54.9,C,52.7,,,
Guilford County Schools,410436,James Y Joyner Elementary,PK-05,55.7,C,52.7,,,
Johnston County Schools,510374,Princeton Elementary,PK-05,51.9,C,52.7,,,
Lee County Schools,530341,SanLee Middle School,06-08,73.5,C,52.7,,,
Surry County Schools,860336,North Surry High,09-12,51.8,C,52.7,,,
Wake County Schools,920348,Needham Broughton High,09-12,26.8,C,52.7,,,
Warren County Schools,930344,South Warren Elementary,PK-05,65.6,C,52.7,,,
Avery County Schools,060332,Riverside Elementary,PK-05,51.6,C,52.6,,,
Cumberland County Schools,260342,C Wayne Collier Elementary,PK-05,54.2,C,52.6,,,
Harnett County Schools,430348,Johnsonville Elementary,PK-05,63.3,C,52.6,,,
Union County Public Schools,900352,Prospect Elementary,0K-05,41.0,C,52.5,,,
Wake County Schools,920542,Reedy Creek Elementary,0K-05,56.0,C,52.5,,,
Cleveland County Schools,230324,Crest High,09-12,44.9,C,52.4,,,
Gaston County Schools,360400,Gardner Park Elementary,PK-05,44.5,C,52.4,,,
Henderson County Schools,450308,Dana Elementary,0K-05,78.0,C,52.4,,,
Johnston County Schools,510360,Meadow School,PK-08,60.4,C,52.4,,,
Nash-Rocky Mount Schools,640384,Swift Creek Elementary,03-05,49.8,C,52.4,,,
Pitt County Schools,740330,Creekside Elementary,PK-05,59.8,C,52.4,,,
Brunswick County Schools,100310,Jessie Mae Monroe Elementary,0K-05,73.3,C,52.3,,,
Forsyth County Schools,340520,South Fork Elementary,PK-05,59.3,C,52.3,,,
Harnett County Schools,430328,Coats Elementary,PK-05,64.3,C,52.3,,,
Charlotte-Mecklenburg Schools,600429,Governors Village STEM Academy (Upper),05-08,34.0,C,52.3,,,
Onslow County Schools,670347,Stateside Elementary,0K-05,42.9,C,52.3,,,
Pamlico County Schools,690320,Pamlico County High,09-12,54.7,C,52.3,,,
Burke County Schools,120340,Hillcrest Elementary,PK-05,91.9,C,52.2,,,
Catawba County Schools,180388,Webb A Murray Elementary,PK-06,77.5,C,52.2,,,
Cleveland County Schools,230357,North Elementary,PK-04,65.5,C,52.2,,,
Guilford County Schools,410562,Southwest Guilford High,09-12,39.1,B,52.2,,,
Hoke County Schools,470316,J W McLauchlin Elementary,PK-05,71.9,C,52.2,,,
Charlotte-Mecklenburg Schools,600300,Albemarle Road Elementary,0K-05,57.7,C,52.2,,,
Charlotte-Mecklenburg Schools,600586,Winding Springs Elementary,PK-05,48.6,C,52.2,,,
Randolph County Schools,760352,Randleman Middle,05-08,65.0,C,52.2,,,
Rowan-Salisbury Schools,800361,Carson High,09-12,40.5,B,52.2,,,
Wilkes County Schools,970348,Mountain View Elementary School,PK-05,40.7,C,52.2,,,
Currituck County Schools,270306,Currituck County High,09-12,24.3,C,52.1,,,
Harnett County Schools,430384,Western Harnett High,09-12,50.1,B,52.1,,,
Henderson County Schools,450344,Sugarloaf Elementary,0K-05,46.4,C,52.1,,,
Franklin County Schools,350338,Terrell Lane Middle,06-08,71.9,C,52.0,,,
Harnett County Schools,430344,Harnett Primary,PK-03,70.1,C,52.0,,,
Charlotte-Mecklenburg Schools,600538,Southwest Middle School,06-08,56.7,C,52.0,,,
Mitchell County Schools,610320,Gouge Elementary,0K-04,59.0,C,52.0,,,
Pitt County Schools,740366,Junius H Rose High,09-12,47.9,C,52.0,,,
Henderson County Schools,450346,Upward Elementary,0K-05,76.0,C,51.9,,,
Pitt County Schools,740320,Bethel Elementary,PK-08,71.9,C,51.9,,,
Yadkin County Schools,990328,West Yadkin Elementary,PK-06,67.1,C,51.9,,,
Charter Schools,61J000,Lakeside Charter Academy,0K-08,14.3,C,51.9,,,
Granville County Schools,390352,South Granville High,09-12,38.5,C,51.8,,,
Charlotte-Mecklenburg Schools,600450,McClintock Middle,06-08,42.0,C,51.8,,,
Stokes County Schools,850350,Southeastern Middle,06-08,55.4,C,51.8,,,
Asheville City Schools,111304,Hall Fletcher Elementary,PK-05,55.1,C,51.7,,,
Durham Public Schools,320363,E K Powe Elementary,PK-05,50.8,C,51.7,,,
Forsyth County Schools,340516,Southeast Middle,06-08,51.8,C,51.7,,,
Onslow County Schools,670333,Northside High,09-12,51.0,B,51.7,,,
Davidson County Schools,290364,Silver Valley Elementary,PK-05,71.5,C,51.6,,,
Durham Public Schools,320366,Sherwood Githens Middle,06-08,59.8,C,51.6,,,
Gaston County Schools,360440,Lowell Elementary,0K-05,60.3,C,51.6,,,
Harnett County Schools,430351,Highland Middle,06-08,58.3,C,51.6,,,
Nash-Rocky Mount Schools,640304,Bailey Elementary,PK-05,40.5,C,51.6,,,
Vance County Schools,910308,Carver Elementary,PK-05,67.6,C,51.6,,,
Vance County Schools,910311,Clarke Elementary,PK-05,72.7,C,51.6,,,
Wake County Schools,920362,Carver Elementary,PK-05,63.8,C,51.6,,,
Johnston County Schools,510410,Polenta Elementary,PK-05,35.3,D,51.5,,,
Forsyth County Schools,340454,Mount Tabor High School,09-12,45.2,B,51.5,,,
Guilford County Schools,410481,Nathanael Greene Elementary,0K-05,42.0,C,51.5,,,
Montgomery County Schools,620312,Candor Elementary,PK-05,90.1,C,51.5,,,
Stanly County Schools,840336,Norwood Elementary,0K-05,61.8,C,51.5,,,
Union County Public Schools,900332,Marshville Elementary,PK-05,53.5,C,51.5,,,
Wayne County Public Schools,960374,Rosewood Middle,06-08,53.4,C,51.5,,,
Jackson County Schools,500302,Blue Ridge Early College,07-13,25.8,D,51.4,,,
Ashe County Schools,050302,Ashe County High,09-12,51.5,C,51.4,,,
Cumberland County Schools,260382,Lucile Souders Elementary,PK-05,75.8,C,51.4,,,
Gaston County Schools,360339,W B Beam Intermediate School,04-05,51.6,C,51.4,,,
Wake County Schools,920570,Timber Drive Elementary,PK-05,39.3,D,51.3,,,
Edenton-Chowan Schools,210312,John A Holmes High,09-12,52.5,C,51.3,,,
Brunswick County Schools,100316,Leland Middle,06-08,69.4,D,51.3,,,
Randolph County Schools,760360,Southwestern Randolph Middle,06-08,60.1,C,51.3,,,
Charlotte-Mecklenburg Schools,600319,Berryhill School,PK-08,40.7,C,51.2,,,
Charlotte-Mecklenburg Schools,600494,Paw Creek Elementary,PK-05,50.5,C,51.2,,,
Union County Public Schools,900308,East Union Middle,06-08,70.5,D,51.2,,,
Wake County Schools,920474,Lake Myra Elementary,PK-05,50.2,D,51.1,,,
Davidson County Schools,290352,Pilot Elementary,PK-05,53.8,C,51.1,,,
Durham Public Schools,320365,Riverside High,09-12,54.2,C,51.1,,,
Johnston County Schools,510340,Four Oaks Elementary,PK-05,65.1,C,51.1,,,
Lenoir County Public Schools,540336,South Lenoir High,09-12,51.4,B,51.1,,,
McDowell County Schools,590352,West Marion Elementary School,PK-05,64.2,C,51.1,,,
Montgomery County Schools,620324,Mount Gilead Elementary,PK-05,84.6,C,51.1,,,
New Hanover County Schools,650332,The International School at Gregory,0K-08,56.9,C,51.1,,,
Pasquotank County Schools,700316,J C Sawyer Elementary,0K-05,54.1,C,51.1,,,
Caldwell County Schools,140324,Gamewell Elementary,PK-05,48.2,C,51.0,,,
Catawba County Schools,180324,Catawba Elementary School,PK-06,66.1,C,51.0,,,
Cleveland County Schools,230368,Township Three Elementary,PK-05,64.7,C,51.0,,,
Currituck County Schools,270308,Currituck County Middle,06-08,36.3,C,51.0,,,
Forsyth County Schools,340364,East Forsyth High,09-12,36.0,C,51.0,,,
Jackson County Schools,500332,Scotts Creek Elementary,0K-08,64.1,C,51.0,,,
Pamlico County Schools,690312,Fred A Anderson Elementary,03-05,58.6,C,51.0,,,
Richmond County Schools,770370,Washington Street Elementary,PK-05,79.3,C,51.0,,,
Rockingham County Schools,790330,J E Holmes Middle,06-08,66.3,C,51.0,,,
Brunswick County Schools,100309,Cedar Grove Middle,06-08,75.5,C,50.9,,,
Buncombe County Schools,110324,Candler Elementary,0K-04,44.2,C,50.9,,,
Forsyth County Schools,340504,Rural Hall Elementary,PK-05,60.6,C,50.9,,,
Guilford County Schools,410391,Penn-Griffin Schools,06-12,65.5,C,50.9,,,
Hyde County Schools,480318,Mattamuskeet Early College High,06-13,59.5,C,50.9,,,
Charlotte-Mecklenburg Schools,600484,Oakhurst STEAM Academy,0K-05,48.1,C,50.9,,,
Montgomery County Schools,620330,Page Street Elementary,03-05,65.9,C,50.9,,,
Onslow County Schools,670325,Jacksonville Commons Middle,06-08,63.5,C,50.9,,,
Vance County Schools,910380,Zeb Vance Elementary,PK-05,57.4,C,50.9,,,
Cherokee County Schools,200328,Murphy High,09-12,47.6,C,50.8,,,
Thomasville City Schools,292318,Thomasville Primary,PK-03,63.6,C,50.8,,,
Guilford County Schools,410307,Edwin A Alderman Elementary,PK-05,55.0,D,50.8,,,
Wake County Schools,920326,Baileywick Road Elementary,PK-05,55.7,D,50.8,,,
Henderson County Schools,450306,Bruce Drysdale Elementary,0K-05,66.9,C,50.8,,,
Johnston County Schools,510342,Four Oaks Middle,06-08,60.0,C,50.8,,,
McDowell County Schools,590326,McDowell Academy for Innovation,09-13,54.5,C,50.8,,,
Wilkes County Schools,970358,North Wilkes Middle School,06-08,38.0,C,50.8,,,
Charter Schools,78A000,CIS Academy,06-08,76.7,C,50.8,,,
Gaston County Schools,360480,Pleasant Ridge Elementary,PK-05,48.1,D,50.7,,,
Gaston County Schools,360498,Southwest Middle,06-08,49.2,C,50.7,,,
