EOG_quintile,percent_EDS,parent_unemployed,county_poc,median_inc_county
3,67.5,7.6,33.1,50748
3,67.5,7.6,11.9,43328
2,67.4,7.6,33.1,50748
4,67.4,8,49.3,52166
4,67.3,11,46,41572
3,67.3,8.6,56.6,59329
4,67.3,9.5,42.7,50112
3,67.2,8.1,44.7,46355
4,67.2,7.3,31.8,60296
3,67.2,8,49.3,52166
4,67.2,8,49.3,52166
3,67.2,9.9,20.3,48372
3,67.2,9.5,42.7,50112
3,67.2,7.1,23.7,53738
3,67.1,7.6,33.1,50748
2,67.1,9.9,20.3,48372
3,67.1,13.9,15.2,49070
3,67,8.1,44.7,46355
2,67,7.4,12.3,55052
3,67,9.5,42.7,50112
2,67,6.1,8,50826
3,66.9,10.5,56,46779
2,66.9,3.6,27.4,80428
3,66.9,5.6,15.9,54012
2,66.8,11,46,41572
3,66.8,10.5,56,46779
3,66.8,10.6,26.3,42728
2,66.8,7.4,14.1,62963
2,66.8,8.8,7.6,41262
2,66.7,9.9,20.3,48372
3,66.7,8,49.3,52166
4,66.7,9.5,42.7,50112
3,66.7,7.1,23.7,53738
3,66.7,8.9,11.8,43972
3,66.6,14,39.5,42618
2,66.6,12,33.8,46411
3,66.6,5.7,41.3,48984
2,66.5,13,12.9,39735
4,66.4,8,49.3,52166
4,66.3,8.1,44.7,46355
3,66.3,16.1,64.9,35433
3,66.3,7.6,33.1,50748
3,66.3,5.4,66.5,38216
3,66.3,11.3,50.3,40433
3,66.3,4,39.1,80169
3,66.3,15.2,26.7,41869
2,66.3,12.5,17.6,44946
4,66.2,14.5,63.4,38818
1,66.2,14.7,42.4,38514
3,66.1,8.6,32.3,50531
4,66.1,7.3,31.8,60296
3,66.1,10.3,17,60163
4,66.1,8.6,56.6,59329
4,66.1,9.9,20.3,48372
3,66.1,9.9,20.3,48372
3,66.1,9.5,42.7,50112
3,66.1,7.1,23.7,53738
4,66,12.7,38.1,45517
4,66,4,18.6,51491
2,66,13.5,15.8,46342
